background	greenplant	purpleplant
91,89,77	113,158,73	133,109,98
87,85,73	114,157,72	133,112,100
84,82,69	113,157,70	135,132,110
80,83,70	105,156,65	137,131,112
84,82,75	115,159,61	91,89,58
84,82,65	123,159,68	87,85,59
84,87,54	109,154,86	94,75,59
127,158,175	121,171,69	150,116,101
127,163,174	116,170,65	150,116,101
129,160,175	117,170,67	149,115,104
131,157,178	123,171,71	147,115,102
124,158,178	126,170,72	145,115,104
119,165,177	125,172,68	140,120,96
126,159,179	132,173,76	143,115,89
134,168,180	125,172,78	146,117,91
138,163,180	128,170,82	142,116,100
102,89,70	132,174,82	154,127,102
108,91,72	139,175,85	151,126,102
103,89,74	140,176,85	155,122,97
93,97,76	138,176,86	158,122,94
97,100,79	138,177,90	156,127,98
100,98,79	138,178,93	154,129,99
100,90,80	140,176,100	155,125,102
97,94,79	139,175,95	156,127,101
94,91,81	144,175,90	152,127,103
147,172,191	111,165,71	139,107,93
148,191,185	112,166,68	139,104,94
159,189,184	115,168,65	139,105,97
158,187,189	123,168,69	139,104,94
147,175,190	128,168,73	136,109,91
142,179,189	132,169,81	133,109,97
145,177,191	131,168,86	131,103,98
147,187,191	130,168,83	129,104,95
149,179,192	124,170,74	133,103,87
103,108,114	144,183,69	147,129,103
97,114,108	134,183,68	146,127,110
98,118,100	139,185,70	151,126,110
106,115,110	150,185,73	156,120,107
108,109,113	143,186,71	152,122,106
110,111,111	146,184,73	150,118,109
106,115,105	150,185,74	150,124,108
102,115,97	153,186,72	151,118,107
110,116,94	145,187,65	152,120,106
47,47,34	118,143,85	129,95,96
47,42,40	115,144,78	122,98,97
47,53,45	114,143,76	122,92,95
55,59,52	109,142,81	122,92,91
48,52,56	106,142,87	122,92,91
48,47,52	107,140,88	122,92,83
47,47,40	111,137,92	122,91,79
48,47,46	107,139,80	122,91,79
48,47,46	104,140,69	117,90,84
44,77,135	147,182,62	127,105,100
46,76,139	145,183,63	127,105,96
52,79,134	145,182,63	124,108,99
49,67,126	146,183,65	120,111,102
44,66,114	147,182,62	120,107,102
46,65,100	138,182,59	117,108,102
35,66,101	136,180,63	122,106,101
39,61,107	137,181,64	124,108,95
38,73,118	141,181,65	120,114,97
60,64,57	218,177,92	130,116,119
48,57,56	219,177,91	130,113,126
35,60,53	219,177,95	130,117,115
47,66,60	218,178,97	129,120,104
60,64,57	218,177,94	129,127,107
60,64,57	218,176,90	131,125,109
60,64,57	218,172,90	131,132,106
60,64,63	218,172,91	136,128,96
54,63,62	217,168,94	139,128,97
124,118,102	217,176,92	113,115,96
115,117,107	219,168,91	108,114,95
117,111,106	220,169,91	111,108,98
120,111,102	220,174,93	113,107,105
120,100,99	218,176,91	108,94,110
117,108,98	220,180,89	111,96,109
115,102,100	221,174,90	111,101,99
111,109,99	221,178,91	111,101,95
111,97,100	221,173,90	106,99,94
73,104,145	166,189,95	111,99,70
69,106,148	161,186,95	111,102,74
75,102,153	160,185,93	111,94,75
84,104,153	161,183,95	111,91,76
75,94,150	159,180,95	111,90,71
63,100,148	152,179,98	111,87,76
70,99,151	152,180,103	111,90,80
79,105,151	152,180,101	111,90,84
78,101,150	146,180,98	108,95,84
208,222,207	195,139,70	111,94,80
214,223,210	196,134,68	111,94,80
218,223,210	199,139,66	111,91,76
216,223,208	201,135,66	115,92,74
215,223,209	200,147,64	117,90,72
219,223,211	198,143,67	113,89,78
226,223,217	197,147,69	108,90,80
216,224,211	195,139,73	106,88,86
215,222,215	195,141,75	100,90,83
185,126,106	138,174,94	111,91,58
185,121,106	129,173,87	108,84,59
185,126,102	139,173,86	103,85,66
184,123,99	140,174,88	94,88,72
183,133,106	148,173,96	100,86,70
185,134,112	148,176,90	103,82,66
187,134,108	146,177,85	100,87,57
187,132,108	145,176,89	97,79,62
187,132,111	141,177,90	97,70,63
187,199,191	176,192,90	113,100,81
194,201,192	175,190,94	113,100,81
190,203,185	177,189,98	115,98,81
193,204,187	174,190,93	115,96,81
193,203,189	181,192,90	114,96,86
196,202,186	192,190,95	111,102,79
195,201,180	193,191,95	113,97,70
192,201,187	193,191,95	113,96,73
193,202,197	197,188,92	113,96,73
211,217,206	200,194,84	120,105,71
205,216,204	181,196,84	122,96,74
204,216,206	179,197,85	117,98,76
204,217,203	186,194,92	113,96,77
210,217,206	177,189,96	115,98,76
210,217,206	157,186,92	115,92,77
211,216,212	162,184,94	113,92,82
206,216,214	159,183,95	111,91,76
205,214,214	154,183,96	108,91,71
213,218,208	128,175,72	146,136,114
213,219,208	126,174,74	146,138,108
212,219,208	126,173,76	143,141,99
208,218,210	118,173,71	140,137,106
206,212,217	131,173,75	141,136,104
211,218,210	143,176,80	141,124,106
213,218,199	136,177,82	140,132,103
219,217,209	133,175,78	138,129,107
215,218,210	126,177,72	141,130,105
234,235,225	193,132,75	100,87,52
243,235,232	193,134,79	100,81,57
238,234,234	194,131,80	97,83,62
237,234,231	195,139,78	97,82,66
238,235,228	196,144,80	97,78,72
234,235,223	197,140,79	97,70,68
235,235,225	199,137,78	94,75,63
234,235,224	199,144,77	91,71,65
234,235,224	199,146,82	91,71,65
125,129,119	132,170,60	127,114,100
124,128,122	127,168,63	130,107,105
130,130,120	119,167,60	132,116,100
135,119,124	115,167,59	132,120,100
131,127,128	117,164,60	130,117,104
127,131,121	112,161,59	135,114,105
120,127,117	105,160,57	140,117,98
116,120,118	105,160,57	137,122,96
120,125,114	103,158,61	134,122,98
116,109,111	110,152,68	131,109,104
105,109,111	104,150,71	132,103,109
96,104,110	106,153,68	131,109,104
96,107,109	113,154,72	133,105,104
100,104,111	116,155,73	134,107,103
109,110,112	120,154,77	134,107,105
118,111,113	109,153,74	133,109,104
113,110,112	105,152,72	133,106,101
116,113,106	106,153,68	131,109,104
201,207,205	108,144,92	115,95,89
207,206,198	105,148,84	111,97,92
182,192,191	111,146,91	115,95,89
178,171,168	110,144,95	120,93,84
152,113,107	107,141,95	117,94,84
109,114,108	110,142,89	113,96,91
106,100,85	107,143,87	115,95,89
100,94,83	101,142,84	115,95,89
97,86,80	94,139,88	117,90,89
201,210,202	133,162,119	126,110,105
206,193,171	134,169,118	124,111,106
181,159,140	143,173,124	126,110,105
134,139,137	153,177,127	126,107,106
127,107,97	152,181,126	127,109,104
109,106,95	159,181,126	127,112,103
103,101,85	149,181,120	127,112,107
95,91,90	147,177,114	126,107,102
87,88,92	135,174,104	126,100,99
214,221,211	138,163,95	129,104,99
215,220,210	134,162,92	127,102,97
220,213,215	130,160,87	126,107,91
217,215,214	125,160,78	126,111,98
221,214,207	126,160,73	126,110,102
216,211,203	120,159,68	126,114,101
200,201,205	116,159,63	127,109,100
201,210,197	118,159,62	129,108,95
197,214,205	115,162,63	129,104,89
226,234,223	128,154,96	115,88,83
219,234,222	125,159,86	120,90,81
227,235,224	130,162,84	120,87,77
237,236,231	132,164,84	120,76,80
233,227,233	141,165,93	115,87,78
229,231,231	140,166,97	111,87,85
230,230,232	143,166,97	113,89,83
233,235,229	142,171,89	115,84,82
227,236,221	144,174,88	113,89,83
234,235,230	109,147,89	115,88,98
236,234,232	108,144,89	117,93,96
233,235,228	108,141,91	117,93,100
236,236,229	108,141,87	117,101,95
232,235,229	105,142,86	115,105,93
231,236,230	99,141,81	111,105,96
235,236,227	96,140,87	111,101,96
239,236,224	95,137,91	111,101,96
241,236,232	94,139,88	113,99,94
60,69,51	101,142,84	138,129,107
80,78,65	94,139,88	141,130,105
78,81,79	133,162,119	100,87,52
75,91,78	134,169,118	100,81,57
78,94,81	143,173,124	97,83,62
81,88,82	153,177,127	97,82,66
87,80,78	152,181,126	97,78,72
91,80,74	159,181,126	97,70,68
87,76,69	149,181,120	94,75,63
76,60,58	147,177,114	91,71,65
76,60,53	135,174,104	91,71,65
71,59,52	138,163,95	127,114,100
61,59,51	134,162,92	130,107,105
48,58,51	130,160,87	132,116,100
54,57,56	125,160,78	132,120,100
54,57,56	126,160,73	130,117,104
61,69,62	120,159,68	135,114,105
67,65,63	116,159,63	140,117,98
207,220,215	118,159,62	137,122,96
202,217,204	115,162,63	134,122,98
191,204,204	128,154,96	131,109,104
196,176,172	101,142,84	132,103,109
171,127,107	94,139,88	131,109,104
132,129,116	133,162,119	133,105,104
125,108,99	134,169,118	134,107,103
114,107,97	143,173,124	134,107,105
109,110,91	153,177,127	133,109,104
125,122,104	152,181,126	133,106,101
108,129,97	159,181,126	131,109,104
106,124,109	149,181,120	138,129,107
109,129,108	147,177,114	141,130,105
120,124,121	135,174,104	100,87,52
107,130,116	138,163,95	100,81,57
103,112,125	134,162,92	97,83,62
100,128,125	130,160,87	97,82,66
104,119,127	125,160,78	97,78,72
145,144,181	126,160,73	97,70,68
148,154,180	120,159,68	94,75,63
147,148,180	116,159,63	91,71,65
141,155,179	118,159,62	91,71,65
147,151,182	115,162,63	127,114,100
151,161,184	128,154,96	130,107,105
151,156,187	101,142,84	132,116,100
156,166,187	94,139,88	132,120,100
157,161,189	133,162,119	130,117,104
94,83,86	134,169,118	135,114,105
94,79,86	143,173,124	140,117,98
91,80,87	153,177,127	137,122,96
87,80,83	152,181,126	134,122,98
76,73,82	159,181,126	131,109,104
70,78,81	149,181,120	132,103,109
62,79,73	147,177,114	131,109,104
80,78,65	135,174,104	133,105,104
91,75,69	138,163,95	134,107,103
85,83,87	134,162,92	134,107,105
91,80,87	130,160,87	133,109,104
91,84,87	125,160,78	133,106,101
91,84,82	126,160,73	131,109,104
87,85,78	120,159,68	138,129,107
84,87,80	116,159,63	141,130,105
84,87,80	118,159,62	100,87,52
84,82,65	115,162,63	100,81,57
84,87,49	128,154,96	97,83,62
91,117,146	122,170,66	149,118,95
93,132,145	118,170,64	149,115,99
93,122,146	112,170,64	147,116,98
91,125,147	117,173,65	146,116,100
89,117,149	123,173,65	143,118,102
86,131,148	131,175,66	142,117,96
92,124,152	140,174,73	142,119,86
98,135,151	138,173,78	146,114,86
104,130,152	130,172,74	142,115,83
130,108,60	135,176,85	158,123,99
136,90,68	137,176,84	159,118,97
129,109,70	144,177,86	158,125,91
124,99,74	144,177,87	158,126,94
124,113,73	138,179,89	158,127,96
126,104,73	132,175,90	159,130,97
127,110,67	139,175,95	160,129,98
127,93,73	138,174,89	161,130,99
126,104,73	142,173,87	159,126,101
137,166,170	117,166,74	137,108,96
139,172,165	113,167,68	137,108,96
147,171,165	117,169,63	137,106,94
146,168,169	125,169,72	137,102,94
135,166,170	127,168,77	136,107,95
125,166,169	131,168,85	134,110,98
128,172,170	132,168,91	134,107,99
129,171,170	133,170,82	133,103,98
132,176,170	127,171,69	133,106,90
106,115,110	143,183,67	147,140,111
104,109,112	136,183,66	146,138,115
103,108,114	142,184,70	151,134,112
103,108,114	149,183,75	156,127,106
107,108,115	143,183,75	152,122,106
115,109,112	139,182,75	149,133,109
108,114,100	146,183,75	147,140,111
101,111,96	149,185,69	146,133,110
106,116,90	141,184,62	149,128,109
47,42,40	113,145,83	129,98,97
47,42,40	115,145,83	126,97,95
55,49,47	115,143,82	124,98,93
55,49,47	113,141,86	124,91,94
42,46,51	107,141,87	122,95,95
28,39,43	107,140,88	120,103,86
40,36,39	104,138,85	119,97,80
48,42,46	101,140,76	120,94,80
49,37,54	96,140,66	116,94,80
49,72,128	145,183,63	127,105,96
54,82,130	142,182,66	127,101,93
62,90,128	142,181,69	124,105,92
54,76,124	140,182,68	120,111,93
50,67,112	141,180,66	120,111,93
54,76,93	143,181,60	120,103,98
47,72,96	139,179,64	122,109,96
50,78,101	142,181,67	126,110,90
44,71,122	142,181,69	122,113,84
64,58,68	219,177,91	127,105,104
58,57,67	220,174,93	128,98,112
52,56,66	220,169,92	126,110,105
60,64,63	218,173,94	129,114,98
66,65,58	216,175,94	131,116,103
60,65,46	216,174,89	132,119,114
55,59,52	216,174,89	129,124,107
55,59,52	216,174,88	133,118,103
53,63,56	215,167,93	136,119,104
120,127,125	219,171,86	113,110,101
116,129,124	220,171,87	115,106,100
116,125,125	221,169,90	117,100,95
117,132,115	220,177,91	117,97,99
124,130,110	218,177,92	113,88,103
125,130,114	219,178,94	106,99,103
124,128,115	219,169,92	108,105,100
117,129,105	220,173,90	108,98,96
121,127,102	221,169,89	106,92,98
76,108,144	173,192,93	111,94,75
68,104,147	177,189,96	111,98,75
70,102,151	167,188,94	111,94,80
77,105,150	158,184,89	108,95,75
73,105,148	159,182,89	108,91,76
64,105,147	162,179,99	108,95,75
69,106,149	157,181,102	111,98,75
77,108,150	159,178,108	111,98,79
77,105,150	152,179,104	111,94,80
205,222,207	195,137,67	113,96,77
206,223,205	197,134,67	111,93,83
210,223,210	199,140,69	108,90,80
215,222,217	200,144,66	111,94,75
214,223,216	199,141,63	113,93,74
217,223,219	199,143,65	111,94,71
219,223,215	196,142,67	108,95,75
217,225,208	194,140,75	108,91,76
222,224,216	195,139,80	106,84,73
197,164,140	134,176,84	106,93,64
199,163,139	128,175,78	106,85,69
199,166,131	133,175,77	100,94,69
197,165,127	132,175,87	94,93,71
197,170,139	136,175,98	100,86,70
198,174,146	138,175,86	106,81,61
199,172,141	142,177,76	103,85,52
199,176,141	142,175,89	100,81,57
199,176,144	142,176,99	97,83,62
191,197,193	181,191,99	114,104,85
189,200,189	172,191,93	112,102,87
182,202,179	179,191,97	113,104,81
187,202,184	186,191,95	118,97,87
188,202,186	187,192,87	114,99,93
191,201,184	192,190,92	111,102,82
198,201,186	194,189,96	113,101,69
196,201,193	196,185,93	117,90,72
192,201,196	199,184,89	115,95,73
219,218,208	203,194,94	117,101,76
207,217,201	199,200,90	117,98,80
196,215,201	194,200,83	115,98,81
203,217,204	189,197,89	114,93,87
213,218,205	184,194,95	114,96,86
210,219,202	179,191,96	114,93,87
211,217,209	171,189,95	112,94,88
210,214,215	170,187,97	109,90,89
210,217,212	162,184,95	106,97,86
212,219,208	128,175,73	150,137,117
211,218,207	133,175,76	148,137,111
209,219,204	129,174,76	146,143,107
212,218,211	124,174,70	140,144,109
211,212,216	132,175,67	144,139,113
210,217,209	141,174,79	146,136,114
218,218,205	141,175,85	144,135,111
222,219,210	140,176,80	141,138,117
215,217,213	135,176,74	146,141,114
240,235,225	194,132,74	111,91,58
243,235,226	195,134,76	108,84,59
240,236,228	195,134,76	103,85,66
239,235,229	195,136,73	94,88,72
242,234,233	195,142,77	100,86,70
240,235,228	197,142,76	103,82,66
238,236,225	200,139,76	100,87,57
236,235,225	198,144,78	97,79,62
241,234,232	196,144,81	97,70,63
132,132,119	120,171,59	121,100,98
128,132,118	121,171,66	121,108,105
132,132,119	114,173,62	123,117,95
132,129,119	112,169,62	125,108,87
134,131,121	114,169,62	127,105,90
134,128,118	119,168,59	128,106,92
124,124,122	116,169,53	130,108,92
110,125,118	117,166,51	130,111,91
119,126,120	123,163,62	128,116,98
111,116,110	120,155,71	129,114,105
105,116,110	111,155,68	131,107,106
103,110,109	117,158,67	132,103,109
98,106,108	123,158,68	134,105,112
92,107,109	117,158,67	134,109,108
97,108,114	116,157,71	133,109,104
108,108,114	110,157,73	131,107,106
113,107,113	109,155,72	131,110,102
116,112,111	116,155,73	130,110,109
198,204,207	111,143,94	115,99,89
207,207,198	105,146,88	111,102,88
187,190,191	109,147,89	113,100,82
179,164,162	108,144,89	115,95,86
153,130,99	108,141,91	115,99,89
114,110,109	108,141,87	115,99,89
109,99,88	105,142,86	115,99,89
103,93,82	99,141,81	117,90,89
97,91,70	96,140,87	117,93,88
200,205,207	125,159,96	127,108,107
201,202,170	135,162,103	127,105,108
181,166,136	138,166,103	126,110,105
144,122,136	145,169,120	127,103,110
127,111,90	141,172,128	130,107,111
104,105,89	138,176,135	132,113,111
97,100,78	142,176,148	130,110,117
95,83,90	140,180,129	127,112,107
86,83,95	141,178,126	126,108,95
216,221,212	147,170,106	129,104,99
217,221,211	137,169,106	127,105,100
219,218,213	134,166,99	127,105,100
221,218,212	136,164,94	126,110,105
222,210,203	133,163,88	126,110,109
216,208,198	133,161,86	124,111,106
201,207,203	125,160,78	126,107,106
199,211,197	125,158,75	126,107,98
194,214,206	114,159,71	127,102,90
230,235,226	127,161,91	117,90,89
229,235,224	136,165,88	122,93,84
229,235,223	140,167,84	120,94,80
230,236,225	151,170,83	117,90,77
230,235,229	156,172,84	115,95,77
227,230,231	150,175,84	113,92,83
230,229,232	151,174,81	115,91,86
237,236,231	145,176,75	117,90,85
233,235,226	147,175,77	115,95,86
234,235,232	108,146,93	113,99,94
233,235,228	106,145,93	115,102,97
232,236,226	107,142,91	115,102,100
231,236,225	109,140,88	113,103,98
230,236,227	104,141,86	113,107,93
231,232,232	99,141,81	115,106,101
237,236,227	98,140,83	113,103,106
235,236,217	97,137,88	113,103,102
233,235,225	92,137,85	115,99,93
67,70,57	99,141,81	141,138,117
80,83,59	96,140,87	146,141,114
78,86,63	125,159,96	111,91,58
75,91,69	135,162,103	108,84,59
83,95,73	138,166,103	103,85,66
94,91,80	145,169,120	94,88,72
91,88,87	141,172,128	100,86,70
91,89,73	138,176,135	103,82,66
84,77,60	142,176,148	100,87,57
61,54,52	140,180,129	97,79,62
61,59,51	141,178,126	97,70,63
61,58,58	147,170,106	121,100,98
55,58,62	137,169,106	121,108,105
48,61,60	134,166,99	123,117,95
49,57,55	136,164,94	125,108,87
54,52,62	133,163,88	127,105,90
53,56,65	133,161,86	128,106,92
53,51,66	125,160,78	130,108,92
212,221,213	125,158,75	130,111,91
211,218,199	114,159,71	128,116,98
201,202,203	127,161,91	129,114,105
195,169,167	99,141,81	131,107,106
170,138,102	96,140,87	132,103,109
134,128,115	125,159,96	134,105,112
125,118,101	135,162,103	134,109,108
114,111,104	138,166,103	133,109,104
104,109,103	145,169,120	131,107,106
89,103,96	141,172,128	131,110,102
78,91,98	138,176,135	130,110,109
67,102,94	142,176,148	141,138,117
71,92,98	140,180,129	146,141,114
75,98,101	141,178,126	111,91,58
69,85,103	147,170,106	108,84,59
64,95,101	137,169,106	103,85,66
72,87,105	134,166,99	94,88,72
75,93,107	136,164,94	100,86,70
153,136,128	133,163,88	103,82,66
153,115,130	133,161,86	100,87,57
153,139,128	125,160,78	97,79,62
153,125,129	125,158,75	97,70,63
154,142,126	114,159,71	121,100,98
157,127,137	127,161,91	121,108,105
159,145,143	99,141,81	123,117,95
162,130,142	96,140,87	125,108,87
163,149,142	125,159,96	127,105,90
82,71,93	135,162,103	128,106,92
81,74,95	138,166,103	130,108,92
90,78,91	145,169,120	130,111,91
81,79,83	141,172,128	128,116,98
75,72,86	138,176,135	129,114,105
68,74,87	142,176,148	131,107,106
67,84,71	140,180,129	132,103,109
73,82,54	141,178,126	134,105,112
84,77,70	147,170,106	134,109,108
87,80,83	137,169,106	133,109,104
80,82,86	134,166,99	131,107,106
87,80,93	136,164,94	131,110,102
94,87,85	133,163,88	130,110,109
91,89,77	133,161,86	141,138,117
84,87,74	125,160,78	146,141,114
84,87,74	125,158,75	111,91,58
84,87,69	114,159,71	108,84,59
81,89,62	127,161,91	103,85,66
107,118,83	124,170,64	149,118,101
113,115,88	120,171,61	146,119,102
104,117,79	114,170,63	145,120,104
111,97,92	119,170,66	143,122,98
104,117,87	122,173,63	143,124,95
111,109,103	125,173,61	142,120,93
109,122,100	131,172,69	145,121,88
122,109,104	126,173,69	146,117,88
117,127,94	132,173,70	145,117,89
151,143,118	137,177,88	163,128,93
156,145,113	142,179,86	165,122,92
150,142,123	144,177,85	162,128,93
135,146,117	142,177,89	158,129,95
144,138,124	137,176,89	161,123,97
134,148,117	131,173,90	163,124,98
147,144,127	133,173,89	165,125,101
148,145,123	136,173,85	166,123,99
147,130,126	140,173,81	165,124,99
130,147,127	128,167,80	137,114,103
131,145,131	118,167,71	134,114,101
133,147,129	120,169,63	136,110,101
138,134,143	127,169,70	136,109,98
126,141,143	129,168,75	136,106,98
117,132,142	127,169,77	136,110,101
122,147,139	134,169,81	136,112,105
127,140,146	136,172,74	136,109,98
124,150,146	125,172,68	134,107,96
104,116,106	144,182,71	151,143,116
108,113,112	144,183,70	147,148,119
107,101,116	143,183,68	151,144,113
101,106,116	145,183,72	154,137,109
103,108,118	139,182,74	152,137,104
111,109,116	134,180,72	151,140,108
108,114,108	141,180,75	152,137,107
94,112,101	144,183,70	152,130,108
98,118,96	139,183,65	154,132,104
40,46,38	108,146,76	129,98,100
40,41,45	112,145,76	127,98,94
40,46,45	115,143,79	126,104,91
40,41,45	111,142,78	124,97,89
34,44,37	106,142,79	122,95,90
28,39,37	107,140,81	117,104,91
34,40,38	108,136,85	117,100,95
40,46,45	97,139,74	117,96,87
42,46,51	91,140,64	116,97,76
44,70,128	145,182,63	127,105,104
51,76,136	145,182,66	126,107,102
62,84,135	139,182,66	124,101,104
53,69,133	130,183,62	120,111,102
44,68,123	132,181,63	122,116,100
48,64,115	138,181,61	122,113,104
48,71,114	145,182,66	124,115,102
51,74,116	149,181,70	126,110,94
47,73,123	147,183,70	126,104,91
70,64,63	219,169,92	127,95,90
70,59,64	219,170,95	126,104,91
66,60,64	218,164,93	122,109,96
66,60,64	217,167,90	124,108,95
66,60,59	216,166,90	124,111,110
60,58,58	216,171,90	127,116,119
48,57,56	216,166,88	127,125,112
54,53,57	215,171,82	129,117,105
53,63,56	215,165,90	131,113,108
121,135,109	220,171,87	113,107,105
124,133,118	221,172,86	113,103,101
121,137,116	221,173,89	115,102,96
125,136,114	220,177,91	117,100,95
126,139,105	218,180,91	113,95,95
137,137,119	218,180,91	108,98,96
126,139,120	218,177,92	108,101,96
129,136,120	220,182,92	111,97,100
126,139,111	221,174,90	106,99,103
73,102,147	179,197,85	111,102,74
64,102,147	186,194,92	113,96,77
66,101,148	177,189,96	113,96,77
70,106,147	157,186,92	113,93,77
68,110,145	162,184,94	111,98,79
65,105,145	159,183,95	111,106,74
71,109,146	154,183,96	111,102,70
73,107,146	154,180,102	113,101,73
78,104,149	152,180,101	113,96,73
215,223,209	196,146,67	113,96,77
213,223,205	197,142,68	111,98,83
207,222,211	199,149,71	106,100,81
213,223,218	199,148,67	108,102,78
216,221,222	199,142,64	108,98,79
216,220,222	199,143,65	108,95,79
221,223,220	196,142,67	108,95,75
218,224,207	193,141,78	111,94,75
218,224,214	196,136,87	111,90,71
207,187,166	130,179,77	103,97,69
209,189,159	128,176,78	100,99,69
212,185,154	128,175,78	92,104,61
209,199,152	124,174,82	94,97,66
207,194,160	126,174,84	100,90,65
208,204,160	131,175,80	106,85,65
208,195,162	137,174,75	103,85,61
205,207,160	135,175,81	100,87,57
208,198,166	137,175,89	100,94,56
190,197,187	188,186,106	113,108,85
189,198,187	175,189,101	108,110,86
186,200,185	182,191,102	113,107,80
189,202,184	192,193,98	117,105,75
187,202,183	192,190,90	115,106,75
189,202,183	192,190,94	111,110,73
195,201,187	195,190,95	115,106,72
197,194,197	197,185,91	120,102,75
191,196,198	201,178,86	116,99,84
211,216,209	207,198,91	117,98,80
207,217,198	204,198,87	113,104,76
208,217,205	201,203,83	113,100,77
208,217,207	194,200,84	111,98,83
212,217,207	191,199,85	112,97,87
209,219,201	195,196,93	112,97,87
211,218,209	187,194,94	109,90,93
208,215,215	180,190,95	107,96,89
210,217,212	169,187,92	106,97,86
209,217,207	130,174,78	150,142,122
216,215,215	134,175,79	148,140,120
212,218,209	136,173,80	147,147,114
217,218,214	134,175,79	143,149,116
214,217,213	134,176,78	147,141,124
213,218,208	139,174,81	148,142,122
217,219,206	148,173,88	147,141,120
222,219,212	145,176,79	147,140,125
215,218,215	141,177,74	148,139,124
233,235,214	196,130,75	106,93,64
240,235,221	196,136,72	106,85,69
238,236,222	196,135,69	100,94,69
233,235,223	196,138,68	94,93,71
240,235,233	197,133,73	100,86,70
241,233,232	197,138,75	106,81,61
234,234,224	198,135,77	103,85,52
230,234,225	198,139,77	100,81,57
235,234,228	198,135,77	97,83,62
125,129,119	118,167,58	111,98,83
122,132,115	117,169,59	112,105,90
130,130,120	117,170,59	112,105,90
134,124,115	118,171,60	116,95,93
132,129,112	122,170,63	121,97,91
132,122,120	124,171,60	121,93,92
122,122,124	136,173,63	118,101,91
110,126,121	135,173,61	121,100,91
116,120,121	135,170,67	123,106,89
116,112,111	111,156,67	128,112,111
109,113,111	108,155,67	130,104,110
107,115,109	113,156,66	131,109,104
107,115,101	116,157,65	131,107,106
109,110,112	116,157,65	131,109,104
100,104,117	113,157,70	131,107,106
102,102,116	107,156,73	129,115,102
109,113,111	107,156,73	129,115,102
113,118,107	109,156,71	127,115,107
198,209,203	114,145,93	115,105,93
209,207,196	109,149,90	111,105,96
186,196,183	108,146,93	111,101,96
179,165,158	106,145,93	111,101,96
156,112,103	107,142,91	113,99,94
116,112,111	109,140,88	115,99,93
112,90,92	104,141,86	117,101,95
106,92,82	99,141,81	120,97,92
97,95,70	98,140,83	120,93,92
198,210,199	120,154,97	129,107,106
204,196,172	123,158,95	129,111,106
181,156,137	125,158,99	127,118,110
147,134,132	125,160,106	127,110,112
127,108,94	130,160,119	132,100,106
94,103,92	124,166,118	135,104,107
95,96,90	140,170,126	134,102,116
91,88,87	148,176,124	129,107,106
85,79,87	148,180,119	126,114,97
209,222,208	132,171,114	129,108,99
213,221,210	133,168,121	131,110,102
217,220,210	128,170,108	131,107,106
217,217,209	131,169,101	132,103,109
220,215,205	135,168,99	130,107,111
215,211,197	141,167,97	130,107,111
202,197,205	146,165,94	129,107,106
198,210,201	140,164,83	131,107,95
186,213,205	137,162,82	129,109,85
235,231,232	129,167,92	115,99,93
240,235,232	134,169,88	120,104,86
236,236,230	130,170,80	117,98,80
230,235,228	139,172,75	115,91,82
224,236,223	143,174,74	115,98,77
227,232,231	143,173,75	115,99,85
232,224,233	138,174,69	115,99,89
240,233,233	140,174,64	117,90,89
238,233,232	153,173,70	115,95,89
231,235,228	112,145,100	113,111,92
231,236,227	108,144,100	113,107,102
232,236,227	105,142,93	111,108,108
229,236,223	105,142,86	108,110,104
229,235,226	109,140,88	113,107,98
236,232,232	99,141,81	117,104,95
238,236,228	95,139,78	115,106,96
232,236,222	99,138,78	113,103,98
228,234,226	105,136,87	117,100,99
71,69,56	99,141,81	147,140,125
76,79,66	98,140,83	148,139,124
78,86,68	120,154,97	106,93,64
75,91,74	123,158,95	106,85,69
86,98,85	125,158,99	100,94,69
100,97,86	125,160,106	94,93,71
98,90,88	130,160,119	100,86,70
91,89,77	124,166,118	106,81,61
84,73,66	140,170,126	103,85,52
36,50,54	148,176,124	100,81,57
42,50,55	148,180,119	97,83,62
49,57,55	132,171,114	111,98,83
49,57,55	133,168,121	112,105,90
42,57,50	128,170,108	112,105,90
48,52,51	131,169,101	116,95,93
48,52,51	135,168,99	121,97,91
49,52,56	141,167,97	121,93,92
41,55,54	146,165,94	118,101,91
212,222,207	140,164,83	121,100,91
224,217,200	137,162,82	123,106,89
205,207,199	129,167,92	128,112,111
193,167,167	99,141,81	130,104,110
169,116,102	98,140,83	131,109,104
134,128,112	120,154,97	131,107,106
125,118,98	123,158,95	131,109,104
112,113,102	125,158,99	131,107,106
107,99,103	125,160,106	129,115,102
85,92,86	130,160,119	129,115,102
80,92,79	124,166,118	127,115,107
76,87,81	140,170,126	147,140,125
75,91,74	148,176,124	148,139,124
76,87,81	148,180,119	106,93,64
75,90,84	132,171,114	106,85,69
75,91,78	133,168,121	100,94,69
75,91,69	128,170,108	94,93,71
80,92,79	131,169,101	100,86,70
104,98,121	135,168,99	106,81,61
100,107,119	141,167,97	103,85,52
104,104,120	146,165,94	100,81,57
110,114,120	140,164,83	97,83,62
106,103,120	137,162,82	111,98,83
97,110,122	129,167,92	112,105,90
100,91,129	99,141,81	112,105,90
107,107,129	98,140,83	116,95,93
112,99,129	120,154,97	121,97,91
73,79,87	123,158,95	121,93,92
78,76,89	125,158,99	118,101,91
87,80,83	125,160,106	121,100,91
84,76,80	130,160,119	123,106,89
76,73,82	124,166,118	128,112,111
